date,brand,store,on_promotion,price,quantity
1990-06-20,dominicks,2,1.0,1.59,10560.0
1990-06-27,dominicks,2,0.228682783,2.326737768,10133.33333
1990-07-04,dominicks,2,0.228682783,2.326737768,9706.666667
1990-07-11,dominicks,2,0.228682783,2.326737768,9280.0
1990-07-18,dominicks,2,0.228682783,2.326737768,8853.333333
1990-07-25,dominicks,2,0.228682783,2.326737768,8426.666667
1990-08-01,dominicks,2,0.0,2.69,8000.0
1990-08-08,dominicks,2,1.0,2.09,6848.0
1990-08-15,dominicks,2,0.0,2.09,2880.0
1990-08-22,dominicks,2,0.228682783,2.326737768,2240.0
1990-08-29,dominicks,2,0.0,2.09,1600.0
1990-09-05,dominicks,2,1.0,1.89,25344.0
1990-09-12,dominicks,2,0.0,1.89,10752.0
1990-09-19,dominicks,2,0.0,1.89,6656.0
1990-09-26,dominicks,2,0.0,1.79,6592.0
1990-10-03,dominicks,2,0.228682783,2.326737768,4970.666667
1990-10-10,dominicks,2,0.228682783,2.326737768,3349.333333
1990-10-17,dominicks,2,0.0,2.69,1728.0
1990-10-24,dominicks,2,1.0,1.24,33792.0
1990-10-31,dominicks,2,0.0,1.59,1920.0
1990-11-07,dominicks,2,1.0,1.59,8960.0
1990-11-14,dominicks,2,0.0,1.29,11392.0
1990-11-21,dominicks,2,0.0,0.99,28416.0
1990-11-28,dominicks,2,1.0,1.59,17152.0
1990-12-05,dominicks,2,1.0,2.49,26560.0
1990-12-12,dominicks,2,0.0,2.69,6336.0
1990-12-19,dominicks,2,1.0,1.39,26368.0
1990-12-26,dominicks,2,0.0,2.69,896.0
1991-01-02,dominicks,2,0.0,2.69,1472.0
1991-01-09,dominicks,2,0.0,2.69,1344.0
1991-01-16,dominicks,2,1.0,0.99,111680.0
1991-01-23,dominicks,2,0.0,2.69,1856.0
1991-01-30,dominicks,2,0.0,2.69,5568.0
1991-02-06,dominicks,2,1.0,1.49,32064.0
1991-02-13,dominicks,2,0.0,1.49,4352.0
1991-02-20,dominicks,2,0.0,2.69,704.0
1991-02-27,dominicks,2,0.0,2.69,13760.0
1991-03-06,dominicks,2,1.0,1.09,43328.0
1991-03-13,dominicks,2,1.0,1.09,57600.0
1991-03-20,dominicks,2,0.0,2.69,704.0
1991-03-27,dominicks,2,0.0,2.69,6016.0
1991-04-03,dominicks,2,1.0,1.59,10368.0
1991-04-10,dominicks,2,0.0,1.59,12608.0
1991-04-17,dominicks,2,0.0,1.59,6336.0
1991-04-24,dominicks,2,1.0,0.99,140736.0
1991-05-01,dominicks,2,1.0,2.69,960.0
1991-05-08,dominicks,2,0.0,2.69,1216.0
1991-05-15,dominicks,2,0.0,2.69,1664.0
1991-05-22,dominicks,2,0.0,2.69,4992.0
1991-05-29,dominicks,2,1.0,1.59,27968.0
1991-06-05,dominicks,2,0.0,1.59,12160.0
1991-06-12,dominicks,2,0.0,2.69,2240.0
1991-06-19,dominicks,2,1.0,1.49,5504.0
1991-06-26,dominicks,2,0.0,1.29,8832.0
1991-07-03,dominicks,2,0.0,1.99,2624.0
1991-07-10,dominicks,2,0.0,1.99,10432.0
1991-07-17,dominicks,2,0.228682783,2.326737768,9376.0
1991-07-24,dominicks,2,0.0,1.59,8320.0
1991-07-31,dominicks,2,0.0,1.99,6784.0
1991-08-07,dominicks,2,1.0,0.99,60544.0
1991-08-14,dominicks,2,0.0,0.99,20608.0
1991-08-21,dominicks,2,0.228682783,2.326737768,19093.33333
1991-08-28,dominicks,2,0.228682783,2.326737768,17578.66667
1991-09-04,dominicks,2,0.0,1.39,16064.0
1991-09-11,dominicks,2,0.0,1.39,12480.0
1991-09-18,dominicks,2,0.0,1.39,17024.0
1991-09-25,dominicks,2,1.0,1.59,13440.0
1991-10-02,dominicks,2,0.0,1.59,10112.0
1991-10-09,dominicks,2,0.0,1.56,9088.0
1991-10-16,dominicks,2,1.0,1.49,22848.0
1991-10-23,dominicks,2,0.0,1.65,6976.0
1991-10-30,dominicks,2,0.0,1.99,4160.0
1991-11-06,dominicks,2,0.0,1.83,3328.0
1991-11-13,dominicks,2,1.0,1.69,12096.0
1991-11-20,dominicks,2,0.0,1.76,6208.0
1991-11-27,dominicks,2,0.0,1.99,3008.0
1991-12-04,dominicks,2,1.0,1.5,19456.0
1991-12-11,dominicks,2,0.0,1.59,16768.0
1991-12-18,dominicks,2,1.0,1.59,13568.0
1991-12-25,dominicks,2,0.0,1.61,6080.0
1992-01-01,dominicks,2,1.0,1.69,10432.0
1992-01-08,dominicks,2,0.0,1.69,11712.0
1992-01-15,dominicks,2,0.0,1.76,4032.0
1992-01-22,dominicks,2,0.0,1.82,6336.0
1992-01-29,dominicks,2,0.0,1.47,13632.0
1992-02-05,dominicks,2,0.0,1.29,45120.0
1992-02-12,dominicks,2,0.0,1.39,9984.0
1992-02-19,dominicks,2,0.0,1.82,4800.0
1992-02-26,dominicks,2,0.0,1.69,11776.0
1992-03-04,dominicks,2,0.0,1.54,11584.0
1992-03-11,dominicks,2,1.0,1.39,51264.0
1992-03-18,dominicks,2,0.0,1.44,14976.0
1992-03-25,dominicks,2,0.0,1.59,30784.0
1992-04-01,dominicks,2,0.0,1.6,12480.0
1992-04-08,dominicks,2,0.0,1.99,3264.0
1992-04-15,dominicks,2,0.0,1.48,8768.0
1992-04-22,dominicks,2,1.0,1.29,70848.0
1992-04-29,dominicks,2,0.0,1.42,18560.0
1992-05-06,dominicks,2,0.0,1.99,9152.0
1992-05-13,dominicks,2,0.0,2.0,9600.0
1992-05-20,dominicks,2,0.0,2.09,4800.0
1992-05-27,dominicks,2,0.0,1.69,9664.0
1992-06-03,dominicks,2,0.0,1.69,45568.0
1992-06-10,dominicks,2,0.0,1.74,20992.0
1992-06-17,dominicks,2,0.0,2.09,6592.0
1992-06-24,dominicks,2,0.0,2.05,4992.0
1992-07-01,dominicks,2,0.0,1.24,8064.0
1992-07-08,dominicks,2,0.0,1.61,7360.0
1992-07-15,dominicks,2,0.0,1.4,10048.0
1992-07-22,dominicks,2,0.0,1.91,10112.0
1992-07-29,dominicks,2,0.0,1.69,9152.0
1992-08-05,dominicks,2,1.0,1.49,36288.0
1992-08-12,dominicks,2,1.0,1.99,3776.0
1992-08-19,dominicks,2,0.0,1.97,3328.0
1992-08-26,dominicks,2,0.0,1.36,13824.0
1992-09-02,dominicks,2,0.0,1.19,9024.0
1992-09-09,dominicks,2,0.0,2.09,2048.0
1992-09-16,dominicks,2,0.0,2.09,1984.0
1992-09-23,dominicks,2,0.0,1.77,4160.0
1992-09-30,dominicks,2,0.0,1.49,35264.0
